Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"Route Acceptance","[""Definition""]",,"The process leading to acceptance by the Infrastructure Manager (and formalised by the issue of a Certificate of Authority to Operate) that all safety issues associated with the physical and operational characteristics of specified vehicles, and their compatibility with the infrastructure on defined routes, have been examined, and that the associated risks have been reduced to a level which is as low as reasonably practicable (ALARP).","[""Digital Railway""]",,,,,"Approved",,,"816","R"
"Route Alignment","[""Definition""]",,"The exact route within the preferred route corridor on which the new railway between Bedford and Cambridge would run.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"817","R"
"Route Availability","[""Definition""]","RA","An indication capability of railway routes (RA1 to RA10) A train must have a route availability (RA) lower than or equal to the RA of a line to be allowed to use it.","[""Industry""]",,,,,"Approved",,,"818","R"
"Route Corridor","[""Definition""]",,"A wide area (up to around 15 kilometres in width) within which the railway could run and within which a route option is selected.  In 1995, a group of Local Authorities and businesses called the East West Rail Consortium started to develop plans for a direct rail link between Bedford and Cambridge. Later, the case for the new railway was considered and developed by Network Rail and the DfT, with support from organisations with interests in transport, the environment, housing and other areas, who wanted to understand in very broad terms where this line might go. Of twenty possible route corridors, the one which went through the broad area around Sandy was identified as the preferred option.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"819","R"
"Route Operations Control","[""Definition""]","ROC","Network Rail Control Centre","[""Industry""]",,,,,"Approved",,,"820","R"
"Route Option","[""Definition""]",,"An area through which the alignment between Bedford and Cambridge could run, narrower than the route corridor. This is up to several kilometres in places","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"821","R"
"Route Requirements Document","[""Definition""]","RRD","Network Rail term for a statement or document that converts the higher level requirements defined at the commencement of the development phase into a set of route requirements made up of a number of capabilities that a route needs to develop in order to fulfil the business needs.
Source NR/L3/INI/P3M/126/01","[""Industry""]","[""Requirements Management""]","Requirements Management Plan",,,"Approved",,,"822","R"
"Royal Institute of British Architects","[""Abbreviation""]","RIBA",,"[""Industry""]",,,,,"Approved",,,"823","R"
"Royal Society for the Protection of Birds","[""Definition""]","RSPB","Conservation charity","[""Environment""]",,,,,"Approved",,,"824","R"
"Rules of the Route","[""Definition""]","RotR","Previous term for Network Planning Rules. Rules agreed with train operators under which speed restrictions or temporary line closures can be imposed for maintenance purposes","[""Industry""]",,,,,"Approved",,,"825","R"
"Safe and Secure Occurrence Owner","[""Definition""]",,"A person within EWR Co assigned to review the circumstances of the Safe and Secure Occurrence submitted and decide any corrective actions. They may be assigned based on the relevant subject area or physical location of the Safe and Secure Occurrence.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1495","S"
"Safe and Secure Occurrence Report","[""Definition""]",,"Means of reporting identified inadequately managed risks, as well as good health and safety practices and safety conversations that have occurred within the business.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell","In review with H&S Team","Approved",,,"1494","S"
"Safe System of Work","[""Definition"",""Abbreviation""]","SSoW","A fit-for-purpose plan or procedure that identifies all potential hazards / impacts and control measures or safe work methods necessary to minimise risk.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1493","S"
"Safety","[""Definition""]",,"Freedom from unacceptable risk of harm. (IEC 62278/ EN 50126).","[""Industry""]",,,,,"Approved",,,"826","S"
"Safety Assessment Report","[""Definition""]",,"The document containing the conclusions of the assessment performed by an assessment body on the system under assessment.","[""Industry"",""Health, Wellbeing, Safety & Security""]",,"EWR System Safety Plan","Graeme Cox",,"Approved",,,"827","S"
"Safety Authority","[""Definition""]",,"The National Body entrusted with tasks regarding railway safety in accordance with EU Directives, or any bi-national body entrusted by Member States with these tasks in order to ensure a unified safety regime for specialised cross-border infrastructures.","[""Digital Railway""]",,,,,"Approved",,,"828","S"
"Safety Case","[""Definition""]",,"A formal presentation of evidence, arguments and assumptions aimed at providing assurance that a system, product or other change to the railway has met its safety requirements and that the safety requirements are adequate.","[""Digital Railway""]",,,,,"Approved",,,"829","S"
"Safety Distance","[""Definition""]",,"Distance between the end of a Movement Authority and the first possible Danger Point.","[""Digital Railway""]",,,,,"Approved",,,"830","S"
"Safety Health and Environment Committee","[""Definition""]","SHEC","The highest-level formal health and safety meeting within EWR Co.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1496","S"
"Safety in Railway Tunnels","[""Definition""]","SRT","As used in the name of the NSTN Safety in Railway Tunnels (SRT)","[""Gov""]",,"NTSN",,,"Approved",,,"831","S"
"Safety Integrity","[""Definition""]",,"The probability of a system satisfactorily performing the required safety function under all the stated conditions within a stated period of time.","[""Digital Railway""]",,,,,"Approved",,,"832","S"
"Safety Integrity Level","[""Definition""]","SIL","One of five possible discrete levels for specifying the safety integrity requirements of the safety functions to be allocated to the safety-related products / systems. Safety Integrity Level 4 is the highest level of safety integrity and Safety Integrity Level zero (SIL 0, i.e. no safety integrity) is the lowest.","[""Digital Railway""]",,,,,"Approved",,,"833","S"
"Safety Justification Report","[""Definition""]",,"NR/RSE/100 – A Report produced that demonstrates that, or justifies why, a programme has not complied with the Common Safety Method for Risk Assessment & Evaluation (CSM(RA)).","[""Digital Railway""]",,,,,"Approved",,,"834","S"
"Safety Management Intelligence System","[""Abbreviation""]","SMIS",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Upload","Karen Campbell",,"Approved",,,"1607","S"
"Safety Management System","[""Definition"",""Abbreviation""]","SMS","a formal arrangement for managing a safe working environment. It defines roles and responsibilities, sets arrangements for safety mechanisms, involves workers in the process and ensures continuous improvement. All operators and duty holders are required to have in place arrangements for managing safety risks and monitoring the performance of their safety system.","[""Digital Railway"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","EWR System Safety Plan","Graeme Cox",,"Approved",,,"835","S"
"Safety Measures","[""Definition""]",,"A set of actions either reducing the rate of occurrence of a hazard or mitigating its consequences in order to achieve and/or maintain an acceptable level of risk.","[""Digital Railway"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","EWR System Safety Plan","Graeme Cox",,"Approved",,,"836","S"
"Safety Plan","[""Definition""]",,"A documented set of time scheduled activities, resources and events serving to implement the organisational structure, responsibility, procedures, activities, capabilities and resources that together ensure that an item will satisfy given safety regulations.","[""Digital Railway""]",,,,,"Approved",,,"837","S"
"Safety Requirement","[""Definition""]",,"A safety measure that must be implemented in order to demonstrate that the safety targets of the new system or change have been met.","[""Digital Railway"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","EWR System Safety Plan","Graeme Cox",,"Approved",,,"838","S"
"Safety, Health & Environment","[""Abbreviation"",""Acronym""]","SHE",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Upload","Karen Campbell",,"Approved",,,"1605","S"
"Safety-Critical","[""Definition""]",,"Carries direct responsibility for safety.","[""Digital Railway""]",,,,,"Approved",,,"839","S"
"Safety-Critical Function","[""Definition""]",,"A function where failure could cause injury or risk to human life.","[""Digital Railway""]",,,,,"Approved",,,"840","S"
"Safety-Critical Software","[""Definition""]",,"Software used to implement a safety-critical function.","[""Digital Railway""]",,,,,"Approved",,,"841","S"
"Safety-Related","[""Definition""]",,"Carries indirect responsibility for safety which, in normal circumstances, will not present an immediate safety risk. In some degraded situations, it could have a direct safety impact.","[""Digital Railway""]",,,,,"Approved",,,"842","S"
"Safety-Related Application Condition (Constraint)","[""Abbreviation""]","SRAC",,"[""Digital Railway""]",,,,,"Approved",,,"843","S"
"Safety-Related System","[""Definition""]",,"A system that is intended to achieve, on its own, or with other safety-related systems, the necessary level of safety integrity for the implementation of the required safety functions.","[""Digital Railway""]",,,,,"Approved",,,"844","S"
"Sale of Access Rights","[""Definition""]","SoAR","Network Rail process to negotiate and agree the sale of access to train operators","[""Industry""]",,,,,"Approved",,,"845","S"
"SAP","[""Definition"",""Acronym""]","SAP","The name of ERP (Enterprise Resource Planning) software as well as the name of the development company. The system has been used in EWR Co. on the Finance and Accounting sectors.","[""Project Management Office""]",,,"Aleksandra Arnista",,"Approved",,,"1728","S"
"Satisfaction Argument","[""Definition""]","SA","A Satisfaction Argument is a textual description that captures how a Requirement will be satisfied.","[""Industry""]",,,,,"Approved",,,"846","S"
"Saturday Excepted","[""Definition""]","SX","Industry abbreviation for Monday to Friday Diagrams","[""Industry""]",,,,,"Approved",,,"847","S"
"Saturday Only","[""Definition""]","SO","Industry abbreviation for Saturday Diagrams","[""Industry""]",,,,,"Approved",,,"848","S"
"Scenario","[""Definition""]",,"A set of actions / functions representing the dynamic of exchanges between the functions allowing the system to achieve a mission or a service.","[""Industry""]",,"Faisandier, A. 2012. Systems Architecture and Design. Belberaud, France: Sinergy'Com.",,,"Approved",,,"849","S"
"Schedule Performance Index","[""Abbreviation""]","SPI",,"[""Industry""]",,,,,"Approved",,,"850","S"
"Scheduled Variance","[""Definition""]","SV","Measurement of time variance between baseline and current schedule).","[""Industry""]",,,,,"Approved",,,"851","S"
"Scottish and Southern Electricity Networks","[""Abbreviation""]","SSEN",,"[""Electrical Engineering""]","[""Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1704","S"
"Second","[""Abbreviation""]","s",,"[""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1700","S"
"Secretary of State","[""Definition""]","SoS","Senior ministers of the Crown Secretaries of state, they head most major government departments and make up the majority of the Cabinet of the UK. SoS's make decisions on DCO applications.","[""Gov"",""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"852","S"
"Secretary of State for Transport (The)","[""Definition""]",,"Also referred to as the transport secretary, is a member of the Cabinet and has overall responsibility for the policies of the Department for Transport. ","[""Consents"",""Gov""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1623","S"
"Section 106 Agreement","[""Definition""]",,"A way of delivering or addressing matters that are necessary to make a development acceptable in planning terms. They support the provision of services and infrastructure, e.g., recreational facilities and affordable housing.","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1653","S"
"Sectional Appendix","[""Definition""]",,"A document produced and maintained by Network Rail providing route-specific information relevant to train operating and trackside staff.","[""Digital Railway""]",,,,,"Approved",,,"853","S"
"Sectional Running Time","[""Definition""]","SRT","Time period measured from the time a Train Service passes the signal controlling entry into a track section between two relevant specified locations to the time the Train Service arrives at the signal controlling entry into the next track section.","[""Industry""]",,,,,"Approved",,,"854","S"
"Security Accreditation Document","[""Abbreviation""]","SAD",,"[""Digital Railway""]",,,,,"Approved",,,"855","S"
"Security Accreditation Plan","[""Definition""]",,"A documented set of time-scheduled activities, resources and events serving to implement the organisational structure, responsibility, procedures, activities, capabilities and resources that together ensure that an item will satisfy given security regulations.","[""Digital Railway""]",,,,,"Approved",,,"856","S"
"Security Accreditation Questionnaire","[""Abbreviation""]","SAQ",,"[""Digital Railway""]",,,,,"Approved",,,"857","S"
"Security Assurance Case ","[""Abbreviation""]","SAC",,,"[""Cyber Security""]","Cyber Security Strategy",,,"Approved",,,"1741","S"
"Security Assurance Framework","[""Abbreviation""]","SAF",,"[""Digital Railway""]",,,,,"Approved",,,"858","S"
"Security Working Group","[""Abbreviation""]","SWG",,"[""Digital Railway""]",,,,,"Approved",,,"859","S"
"Selective Door Operation","[""Definition""]","SDO","Enables trains to call at stations where the platform is shorter than the train, by preventing some doors from opening. Most use GPS.","[""Industry""]",,,,,"Approved",,,"860","S"
"Senior Information Risk Owner","[""Definition"",""Acronym""]","SIRO","The designated authority who is accountable for information risk on behalf of the Board.  

","[""Information Technology""]","[""Information Security""]","Business Continuity and Disaster Recovery - Information Security Policy ","Philippe Berthelot",,"Approved",,,"1756","S"
"Senior Leadership Team","[""Definition""]",,"Executive team, Head of People and Culture, Head of Health, Safety and Security and, Legal Counsel and Company Secretary","[""Health, Wellbeing, Safety & Security"",""EWR""]","[""Health & Safety""]","H&S Import","Karen Campbell","In review with H&S Team","Approved",,,"1497","S"
"Senior Management","[""Definition""]",,"EWR Co Top Management team (as per the ISO 45001 standard) which includes CEO, Executive Directors and Heads of Functions.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1498","S"
"Senior Responsible Owners","[""Abbreviation""]","SRO",,"[""Industry""]",,,,,"Approved",,,"861","S"
"Sensitivity (Landscape and Visual)","[""Definition""]",,"A term applied to specific receptors, combining judgments of the susceptibility of the receptor to the specific type of change or development proposed and the value related to that receptor.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1152","S"
"Sentinel","[""Definition""]",,"The organisation set up to administer Track safety competence and provide rail workers with a passport to work on the rail infrastructure across the United Kingdom.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1499","S"
"Serious Incident review Procedure","[""Definition""]","SIRP","Procedure for reviewing serious operating / performance incidents in the railway","[""Industry""]",,,,,"Approved",,,"862","S"
"Service","[""Definition""]",,"Performance of activities, work or duties.","[""Industry""]",,"EWR EA Ontology and [ISO15288:2015]",,,"Approved",,,"863","S"
"Service Brake Intervention","[""Definition""]","SBI","An ERTMS-commanded application of the full service brake.","[""Digital Railway""]",,,,,"Approved",,,"864","S"
"Service Level Agreement","[""Abbreviation""]","SLA",,"[""Digital Railway""]",,,,,"Approved",,,"865","S"
"Setting of a Heritage Asset","[""Definition""]","SHA","The surroundings in which a heritage asset is experienced. Its extent is not fixed and may change as the asset and its surroundings evolve. Elements of a setting may make a positive or negative contribution to the significance of an asset, may affect the ability to appreciate that significance or may be neutral.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1153","S"
"Setting Out (Survey Layout)","[""Definition""]",,"The use of Information Models with specific surveying equipment to set-out the position of components on site, typically used for structural elements including foundations, slabs and framing.","[""Enterprise Architecture""]","[""BIM Activities - Construction Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1360","S"
"SHALL","[""Definition""]",,"Term is used to state a mandatory requirement of Policy. See Comments field.","[""Information Technology""]","[""Information Security""]","Business Continuity and Disaster Recovery - Information Security Policy ","Philippe Berthelot","Term is specific to the Policy as stated in the Source field.","Approved",,,"1753","S"
"Shared","[""Definition""]",,"Once development of a deliverable has reached a suitable point and has been suitably checked, reviewed, verified, and approved, it may be shared outside of the immediate task team. Typically, this is the point at which the design may be translated and made available for cross discipline coordination. The information container may also be issued for external quality assurance review and/or verification processes.","[""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1329","S"
"Shift to Rail","[""Definition""]","S2R","A European rail initiative to seek focused research and innovation (R&I) and market-driven solutions by accelerating the integration of new and advanced technologies into innovative rail product solutions.","[""Digital Railway""]",,,,,"Approved",,,"866","S"
"Short-Term Planning","[""Definition""]","STP","Changes to the long-term timetable","[""Industry""]",,,,,"Approved",,,"867","S"
"SHOULD","[""Definition""]",,"Term is used to state a recommended requirement of this Policy. See Comments field.","[""Information Technology""]","[""Information Security""]","Business Continuity and Disaster Recovery - Information Security Policy ","Philippe Berthelot","Term is specific to the Policy as stated in the Source field.","Approved",,,"1754","S"
"Signal Controlled Warning System","[""Definition""]","SCWS","The SCWS is being developed by NR to increase safety for track workers nationwide. It uses the detected state of the railway and combines this with knowledge of where trackside worksites are located in order to issue warning messages to track workers, giving a safe time margin in which to move to a position of safety. By using the signalling system as the basis of the SCWS, a high-integrity warning system can be created that will improve the level of safety offered to track workers.","[""Digital Railway""]",,,,,"Approved",,,"868","S"
"Signal Monitoring and Reporting to TRUST","[""Abbreviation""]","SMART",,"[""Digital Railway""]",,,,,"Approved",,,"869","S"
"Signal Passed at Danger","[""Definition"",""Acronym""]","SPAD","Any occasion when any part of a train proceeds beyond its authorised movement. Unauthorised movement means to pass:
- a trackside colour light signal or semaphore at danger, order to STOP;
- the end of a safety-related Movement Authority foreseen in Automatic Train Control systems;","[""Digital Railway""]",,,,,"Approved",,,"870","S"
"Signal Power Alarm System","[""Abbreviation""]","SPAS",,"[""Digital Railway""]",,,,,"Approved",,,"871","S"
"Signalling Remote Interface","[""Abbreviation""]","S-RIF",,"[""Digital Railway""]",,,,,"Approved",,,"872","S"
"Significance","[""Definition""]",,"The value of a heritage asset to this and future generations because of its heritage interest. That interest may be archaeological, architectural, artistic or historic. Significance derives not only from a heritage asset’s physical presence, but also from its setting.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1154","S"
"Significance (Landscape and Visual)","[""Definition""]",,"A measure of the importance or gravity of the environmental effect, defined by significance criteria specific to the environmental topic.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1155","S"
"Significance (Historic Environment)","[""Definition""]",,"The value of a heritage asset to this and future generations because of its heritage interest. That interest may be archaeological, architectural, artistic or historic. Significance derives not only from a heritage asset’s physical presence, but also from its setting.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1156","S"
"Significant Observed Adverse Effect Level","[""Abbreviation""]","SOAEL",,"[""Environment""]",,,"Karen Straw",,"Approved",,,"1239","S"
"Significant Risks","[""Definition""]",,"Risks that are not necessarily those that involve the greatest risks, but those that are least obvious, are unusual, or likely to be difficult to manage effectively.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell","In review with H&S Team","Approved",,,"1500","S"
"Similar Reference System","[""Definition""]",,"A system proven in use to have an acceptable safety level and against which the acceptability of the risks from a system under assessment can be evaluated by comparison.","[""Digital Railway""]",,,,,"Approved",,,"873","S"
"Simulation","[""Definition""]",,"An artificial representation of a real-world event","[""Industry""]",,,,,"Approved",,,"874","S"
"Single Disciplinary Check","[""Abbreviation""]","SDC",,"[""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1701","S"
"Single Point of Contact","[""Abbreviation""]","SPoC",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety"",""Wellbeing""]","H&S Upload","Karen Campbell","The ‘Single Point of Contact’ for pandemic management purposes. ","Approved",,,"1608","S"
"Single Source of Truth","[""Definition""]","Single Source Data","Data that is captured once to a specification that may be used in multiple systems.
(See also MDM)","[""Industry""]",,,,,"Approved",,,"875","S"
"SIPOC","[""Definition"",""Acronym""]","SIPOC","Process flow chart used to map the processes out and stands for Supplier, Input, Process, Output, Customer.","[""Project Management Office""]",,,"Aleksandra Arnista",,"Approved",,,"1729","S"
"Site Analysis","[""Definition""]",,"Analysing a selected site, using Information Models, to assess project feasibility and to inform the design process. Analysis may include spatial, geographic and environmental considerations that could impact the selection of a specific site, the orientation of a facility or the design of certain building elements in response to the site environment (e.g. sun paths and flood risks).","[""Enterprise Architecture""]","[""BIM - Information Model"",""Plan related BIM Activities""]","BIM Exchange Information Requirements","Abel Maciel","Definition will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1338","S"
"Site of Specific Scientific Interest","[""Definition""]","SSSI","Area of land notified by Natural England under section 28 of the Wildlife and Countryside Act 1981 as being of special interest by reason of its flora, fauna or geological or physiological features.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"876","S"
"Site Waste Management Plan","[""Abbreviation""]","SWMP",,"[""Environment""]","[""IMS""]",,"Karen Straw",,"Approved",,,"1244","S"
"Six-foot","[""Definition""]",,"The term for the space between two adjacent railway running lines (nominally 6 feet between the nearest rails)","[""Industry""]",,,,,"Approved",,,"877","S"
"Sketch","[""Abbreviation""]","SK",,"[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1297","S"
"So Far as is Reasonably Practicable","[""Definition"",""Abbreviation""]","SFAIRP","SFAIRP means essentially the same as ALARP and at the core of these two terms is the concept of ‘reasonably practicable’; this involves weighing a risk against the trouble, time and money needed to control it. Thus, ALARP describes the level to which the Health & Safety Executive (HSE) expects to see workplace risks controlled. ‘SFAIRP is the term most often used in the Health and Safety at Work, etc. Act and in Regulations. ALARP is the term used by risk specialists, and dutyholders are more likely to know it. In the HSE’s view, the two terms are interchangeable, except if you are drafting formal legal documents when you must use the correct legal phrase.’","[""Digital Railway""]",,"EWR System Safety Plan",,,"Approved",,,"878","S"
"Software as a Service","[""Definition""]","SaaS","This is a software licensing and delivery model in which supplier software is licensed on a subscription basis and is centrally hosted by the Supplier (usually in the cloud but can be locally hosted).","[""Industry""]",,,,,"Approved",,,"879","S"
"Soil","[""Definition""]",,"The upper layer of the earth's crust, in which plants grow. It consists of weathered rock, organic matter, air spaces and water. Descriptions usually identify the relevant characteristics of its (usually) horizontal layers (horizons) in terms of their significance for soil characteristics and crop growth, usually to a depth of 1.2m.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1157","S"
"Soil Management Plan","[""Abbreviation""]","SMP",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1238","S"
"Soil Profile","[""Definition""]","SP","A vertical cross-section through a soil, showing the different layers or horizons.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1158","S"
"Soil Resources Report","[""Abbreviation""]","SRR",,"[""Environment""]",,,"Karen Straw",,"Approved",,,"1241","S"
"Soil Sealing","[""Definition""]",,"The covering of the ground by an impermeable material, such as the construction of roads, railways and buildings, which stops it providing beneficial services.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1159","S"
"Soil Texture","[""Definition""]",,"The relative proportion of the various size fractions of particles in a soil (sand, silt and clay).","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1160","S"
"Solid State Interlocking","[""Abbreviation""]","SSI",,"[""Digital Railway""]",,,,,"Approved",,,"880","S"
"Solution Requirement","[""Definition""]",,"These are requirements that fulfil the Configuration Service requirements. They will be encapsulated within Route Requirements Documents (Network Rail terms) and detail the systems, people and processes involved in delivering the configuration state","[""EWR""]",,"EWR EA Ontology",,,"Approved",,,"881","S"
"Source Protection Zone","[""Definition""]","SPZ","A defined area within which groundwater is extracted for potable water supply. The shape and size of a zone (Zone 1-3) depends on the condition of the ground, how the groundwater is removed, and other environmental factors.

Inner zone (Zone 1) - Defined as the 50-day travel time from any point below the water table to the source. This zone has a minimum radius of 50 metres.

Outer zone (Zone 2) - Defined by a 400-day travel time from a point below the water table. This zone has a minimum radius of 250 metres around the source, depending on the size of the abstraction.

Total catchment (Zone 3) - Defined as the area around a source within which all groundwater recharge is presumed to be discharged at the source. In confined aquifers, the source catchment may be displaced some distance from the source.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1161","S"
"Space Management","[""Definition""]",,"The use of Information Models for analysis and/or management of project spaces. This can include temporary spaces during construction, access/handover sequencing and/or the management of rooms/spaces during operation. Information models may be used to accurately verify design areas against the project specification, and be used to support operational space management, including asset tracking, wayfinding, occupancy management and emergency procedure planning.","[""Enterprise Architecture""]","[""BIM Activities - Analyse Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1348","S"
"Special Area of Conservation","[""Definition""]","SAC","Areas of conservation protected under the European Union’s Habitats Directive","[""Environment""]",,,,,"Approved",,,"883","S"
"Special Protection Area","[""Definition""]","SPA","Protected areas for birds in the UK.","[""Environment""]",,,,,"Approved",,,"884","S"
"Specialist Residential Properties","[""Definition""]","SRP","Accommodation for a group of people with specific needs (such as purpose-built accommodation for the elderly or students).","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1162","S"
"Specific Application Safety Case","[""Abbreviation""]","SASC",,"[""Digital Railway""]",,,,,"Approved",,,"885","S"
"Specific, Measurable, Achievable, Realistic and Time-bound","[""Abbreviation"",""Acronym""]","SMART",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Upload","Karen Campbell",,"Approved",,,"1606","S"
"Specific, Measurable, Achievable, Relevant, and Time-Bound","[""Acronym""]","SMART",,"[""Industry"",""Health, Wellbeing, Safety & Security""]","[""IMS""]",,"Katie Scott","In reference to setting an Objective.","Approved",,,"1768","S"
"Sponsors’ Requirements","[""Definition""]",,"These are the key technical, operational and environmental requirements laid down by the Department of Transport that form the basis of the EWR Co output specification","[""EWR""]",,,,,"Approved",,,"886","S"
"Stakeholder","[""Definition""]",,"Any person or organisation with a vested interest in the EWR railway project and can either affect, or be affected by, the policies, objectives and outcome.","[""EWR""]",,,,,"Approved",,,"887","S"
"Standard Length Unit","[""Definition""]","SLU","Measurement of the vehicle (21ft); used to describe the length of vehicles and loops so it is known if trains can be accommodated","[""Industry""]",,,,,"Approved",,,"888","S"
"Standard Operating Procedure","[""Abbreviation"",""Acronym""]","SOP",,"[""Industry""]",,,,,"Approved",,,"889","S"
"Standards Management Plan","[""Abbreviation""]","SMP",,"[""Industry""]",,,,,"Approved",,,"890","S"
"Start of Mission","[""Abbreviation""]","SoM",,"[""Digital Railway""]",,,,,"Approved",,,"891","S"
"State","[""Definition""]",,"A state represents the different areas of the Common data environment workflow through which information objects transition. The only defined states applied by this standard are Work in Progress, Shared, Published and Archived.","[""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1330","S"
"Statement of Common Ground","[""Definition""]",,"A written statement between statutory consultees and EWR Co to summarise the basic information that is agreed between the parties and not in dispute. EWR Co prepares the first draft, and the statutory consultees only sign up to those statements when they fully agree.","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1654","S"
"Statement of Community Consultation","[""Definition""]","SoCC","A document required under the Planning Act 2008 which explains how EWR Co intends to carry out statutory consultation with the local communities and lineside neighbours on its proposals.","[""Consents"",""Gov""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1655","S"
"Statement of Funds Available","[""Abbreviation""]","SoFA",,"[""Gov""]",,,,,"Approved",,,"893","S"
"Statement of Requirements","[""Definition""]",,"Specific set of requirements per scope of work","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1501","S"
"Static Frequency Converter","[""Abbreviation""]","SFC",,"[""Electrical Engineering""]","[""Traction Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1703","S"
"Station Facilities Owner","[""Definition""]","SFO","Primary owner and operator of a station. Usually Network Rail or TOC.","[""Industry""]",,,,,"Approved",,,"894","S"
"Station Information and Security Systemss","[""Definition""]","SISS","Customer information screens etc. (also partly known as CIS","[""Industry""]",,,,,"Approved",,,"895","S"
"Status Code","[""Definition""]",,"A formal label stored on an information container to formally identify the allowed use of the information container in a specific state in the workflow. (This term is contained in ISO 19650 and is also known as a suitability code).","[""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1331","S"
"Statutory Consultation","[""Definition""]",,"The consultation exercise to be undertaken by EWR Co pursuant to section 42 of the PA 2008. [Refer to anticipated date for this exercise.]","[""Public engagement and consultation""]",,,,,"Approved",,,"896","S"
"Statutory Consultees","[""Definition""]",,"Specific individuals, organisations or bodies that are legally required to be consulted pursuant to section 42 of the 2008 Act.","[""Public engagement and consultation""]",,,,,"Approved",,,"897","S"
"Stock and Crew System","[""Definition""]",,"A Stock and Crew System is a decision support tool used in real time to ensure that the right resources are in the right place at the right time. It achieves this by combining data from the train service, and its actual running diagram and resource information, and their associated rolling stock allocations and crew rosters.","[""Digital Railway""]",,,,,"Approved",,,"898","S"
